Id┇Type=Int;Name=Id;Collection=None;Key=A;Out=2;IDType=101;Split=;Doc=HSR装备基础信息		Name┇Type=String;Name=Name;Collection=None;Key=B;Out=0	Type┇Type=EquipmentPartType;Name=Type;Collection=None;Key=C;Out=2	Quality┇Type=QualityType;Name=Quality;Collection=None;Key=D;Out=2	Group┇Type=Int;Name=Group;Collection=None;Key=E;Out=2	Super┇Type=Bool;Name=Super;Collection=None;Key=F;Out=2	Icon┇Type=String;Name=Icon;Collection=None;Key=G;Out=0	Desc┇Type=String;Name=Desc;Collection=None;Key=H;Out=0	Suits┇Type=HSRSuit;Name=Suits;Collection=List;Key=I;Out=0	SellPrice┇Type=Int;Name=SellPrice;Collection=None;Key=J;Out=2	UseMods┇Type=PlayerMod;Name=UseMods;Collection=List;Key=K;Out=0	SourceJumps┇Type=CurrencyJump;Name=SourceJumps;Collection=List;Key=L;Out=0
1013009	银丝环（蓝色）	EquipName_1013009	8	3	9	0	ui://2opvcgqbdweg30c			0		
1014001	游侠头盔（紫色）	EquipName_1014001	0	4	101	0	ui://2opvcgqbdweg306			0	10401	
1014002	游侠胸甲（紫色）	EquipName_1014002	2	4	102	0	ui://2opvcgqbdweg308			0	10403	
1014003	游侠手套（紫色）	EquipName_1014003	4	4	103	0	ui://2opvcgqbdweg307			0	10402	
1014004	游侠腰带（紫色）	EquipName_1014004	5	4	104	0	ui://2opvcgqbdweg30a			0		
1014005	游侠裤子（紫色）	EquipName_1014005	6	4	105	0	ui://2opvcgqbdweg304			0	10404	
1014006	游侠鞋子（紫色）	EquipName_1014006	7	4	106	0	ui://2opvcgqbdweg302			0	10405	
1014007	软皮护腕（紫色）	EquipName_1014007	3	4	107	0	ui://2opvcgqbdweg309			0		
1014008	游隼羽坠（紫色）	EquipName_1014008	1	4	108	0	ui://2opvcgqbdweg305			0		
1014009	猎弦指环（紫色）	EquipName_1014009	8	4	109	0	ui://2opvcgqbdweg303			0		
1014011	角斗士头盔（紫色）	EquipName_1014011	0	4	111	0	ui://2opvcgqbdweg2zx		1	0	10411	
1014012	角斗士胸甲（紫色）	EquipName_1014012	2	4	112	0	ui://2opvcgqbdweg2zz		1	0	10413	
1014013	角斗士手套（紫色）	EquipName_1014013	4	4	113	0	ui://2opvcgqbdweg2zy		1	0	10412	
1014014	角斗士腰带（紫色）	EquipName_1014014	5	4	114	0	ui://2opvcgqbdweg301		1	0		
1014015	角斗士裤子（紫色）	EquipName_1014015	6	4	115	0	ui://2opvcgqbdweg2zv		1	0	10414	
1014016	角斗士鞋子（紫色）	EquipName_1014016	7	4	116	0	ui://2opvcgqbdweg2z6		1	0	10415	
1014017	斗兽徽记（紫色）	EquipName_1014017	3	4	117	0	ui://2opvcgqbdweg300		16	0		
1014018	铁棘指环（紫色）	EquipName_1014018	1	4	118	0	ui://2opvcgqbdweg2zw		16	0		
1014019	绑带护腕（紫色）	EquipName_1014019	8	4	119	0	ui://2opvcgqbdweg2z7		16	0		
1014020	角斗士披风（紫色）	EquipName_1014020	9	4	120	0	ui://2opvcgqbkry03ep			0	10416	
1014021	勇气头盔（紫色）	EquipName_1014021	0	4	121	0	ui://2opvcgqb9m1r3c7			0	10431	
1014022	勇气胸甲（紫色）	EquipName_1014022	2	4	122	0	ui://2opvcgqb9m1r3c9			0	10433	
1014023	勇气手套（紫色）	EquipName_1014023	4	4	123	0	ui://2opvcgqb9m1r3c8			0	10432	
1014024	勇气腰带（紫色）	EquipName_1014024	5	4	124	0	ui://2opvcgqb9m1r39k			0		
1014025	勇气裤子（紫色）	EquipName_1014025	6	4	125	0	ui://2opvcgqb9m1r3c5			0	10434	
1014026	勇气鞋子（紫色）	EquipName_1014026	7	4	126	0	ui://2opvcgqb9m1r3c3			0	10435	
1014027	铁箍护腕（紫色）	EquipName_1014027	3	4	127	0	ui://2opvcgqb9m1r3ca			0		
1014028	狮心吊坠（紫色）	EquipName_1014028	1	4	128	0	ui://2opvcgqb9m1r3c6			0		
1014029	誓言指环（紫色）	EquipName_1014029	8	4	129	0	ui://2opvcgqb9m1r3c4			0		
1015001	游侠头盔（黄色）	EquipName_1014001	0	5	101	0	ui://2opvcgqbdweg306			0	10401	
1015002	游侠胸甲（黄色）	EquipName_1014002	2	5	102	0	ui://2opvcgqbdweg308			0	10403	
1015003	游侠手套（黄色）	EquipName_1014003	4	5	103	0	ui://2opvcgqbdweg307			0	10402	
1015004	游侠腰带（黄色）	EquipName_1014004	5	5	104	0	ui://2opvcgqbdweg30a			0		
1015005	游侠裤子（黄色）	EquipName_1014005	6	5	105	0	ui://2opvcgqbdweg304			0	10404	
1015006	游侠鞋子（黄色）	EquipName_1014006	7	5	106	0	ui://2opvcgqbdweg302			0	10405	
1015007	软皮护腕（黄色）	EquipName_1014007	3	5	107	0	ui://2opvcgqbdweg309			0		
1015008	游隼羽坠（黄色）	EquipName_1014008	1	5	108	0	ui://2opvcgqbdweg305			0		
1015009	猎弦指环（黄色）	EquipName_1014009	8	5	109	0	ui://2opvcgqbdweg303			0		
1015011	角斗士头盔（黄色）	EquipName_1014011	0	5	111	0	ui://2opvcgqbdweg2zx		1	0	10411	
1015012	角斗士胸甲（黄色）	EquipName_1014012	2	5	112	0	ui://2opvcgqbdweg2zz		1	0	10413	
1015013	角斗士手套（黄色）	EquipName_1014013	4	5	113	0	ui://2opvcgqbdweg2zy		1	0	10412	
1015014	角斗士腰带（黄色）	EquipName_1014014	5	5	114	0	ui://2opvcgqbdweg301		1	0		
1015015	角斗士裤子（黄色）	EquipName_1014015	6	5	115	0	ui://2opvcgqbdweg2zv		1	0	10414	
1015016	角斗士鞋子（黄色）	EquipName_1014016	7	5	116	0	ui://2opvcgqbdweg2z6		1	0	10415	
1015017	碎骨缚腕（黄色）	EquipName_1014017	3	5	117	0	ui://2opvcgqbdweg300		16	0		
1015018	铁棘指环（黄色）	EquipName_1014018	1	5	118	0	ui://2opvcgqbdweg2zw		16	0		
1015019	斗兽徽记（黄色）	EquipName_1014019	8	5	119	0	ui://2opvcgqbdweg2z7		16	0		
1015020	角斗士披风（黄色）	EquipName_1014020	9	5	120	0	ui://2opvcgqbkry03ep			0	10416	
1015021	勇气头盔（黄色）	EquipName_1014021	0	5	121	0	ui://2opvcgqb9m1r3c7			0	10431	
1015022	勇气胸甲（黄色）	EquipName_1014022	2	5	122	0	ui://2opvcgqb9m1r3c9			0	10433	
1015023	勇气手套（黄色）	EquipName_1014023	4	5	123	0	ui://2opvcgqb9m1r3c8			0	10432	
1015024	勇气腰带（黄色）	EquipName_1014024	5	5	124	0	ui://2opvcgqb9m1r39k			0		
1015025	勇气裤子（黄色）	EquipName_1014025	6	5	125	0	ui://2opvcgqb9m1r3c5			0	10434	
1015026	勇气鞋子（黄色）	EquipName_1014026	7	5	126	0	ui://2opvcgqb9m1r3c3			0	10435	
1015027	铁箍护腕（黄色）	EquipName_1014027	3	5	127	0	ui://2opvcgqb9m1r3ca			0		
1015028	狮心吊坠（黄色）	EquipName_1014028	1	5	128	0	ui://2opvcgqb9m1r3c6			0		
1015029	誓言指环（黄色）	EquipName_1014029	8	5	129	0	ui://2opvcgqb9m1r3c4			0		
1015031	无畏头盔（黄色）	EquipName_1015031	0	5	131	0	ui://2opvcgqbdweg2ye			0	10511	
1015032	无畏胸甲（黄色）	EquipName_1015032	2	5	132	0	ui://2opvcgqbdweg2yg			0	10513	
1015033	无畏手套（黄色）	EquipName_1015033	4	5	133	0	ui://2opvcgqbdweg2yf			0	10512	
1015034	无畏腰带（黄色）	EquipName_1015034	5	5	134	0	ui://2opvcgqbdweg2z5			0		
1015035	无畏裤子（黄色）	EquipName_1015035	6	5	135	0	ui://2opvcgqbdweg2yc			0	10514	
1015036	无畏鞋子（黄色）	EquipName_1015036	7	5	136	0	ui://2opvcgqbdweg2ya			0	10515	
1015037	铁壁护腕（黄色）	EquipName_1015037	3	5	137	0	ui://2opvcgqbdweg2z4			0		
1015038	狮鹫徽记（黄色）	EquipName_1015038	1	5	138	0	ui://2opvcgqbdweg2yd			0		
1015039	不屈指环（黄色）	EquipName_1015039	8	5	139	0	ui://2opvcgqbdweg2yb			0		
1015041	湮灭头盔（黄色）	EquipName_1015041	0	5	141	0	ui://2opvcgqb9m1r3d9			0	10521	
1015042	湮灭胸甲（黄色）	EquipName_1015042	2	5	142	0	ui://2opvcgqb9m1r3cw			0	10523	
1015043	湮灭手套（黄色）	EquipName_1015043	4	5	143	0	ui://2opvcgqb9m1r3cv			0	10522	
1015044	湮灭腰带（黄色）	EquipName_1015044	5	5	144	0	ui://2opvcgqb9m1r3cy			0		
1015045	湮灭裤子（黄色）	EquipName_1015045	6	5	145	0	ui://2opvcgqb9m1r3cs			0	10524	
1015046	湮灭鞋子（黄色）	EquipName_1015046	7	5	146	0	ui://2opvcgqb9m1r3cq			0	10525	
1015047	暗蚀护腕（黄色）	EquipName_1015047	3	5	147	0	ui://2opvcgqb9m1r3cx			0		
1015048	虚空之眼（黄色）	EquipName_1015048	1	5	148	0	ui://2opvcgqb9m1r3cu			0		
1015049	凋零指环（黄色）	EquipName_1015049	8	5	149	0	ui://2opvcgqb9m1r3cr			0		
1015051	近卫头盔（黄色）	EquipName_1015051	0	5	151	0	ui://2opvcgqb9m1r3bf		2	0	10531	
1015052	近卫胸甲（黄色）	EquipName_1015052	2	5	152	0	ui://2opvcgqb9m1r3bg		2	0	10533	
1015053	近卫手套（黄色）	EquipName_1015053	4	5	153	0	ui://2opvcgqb9m1r3cc		2	0	10532	
1015054	近卫腰带（黄色）	EquipName_1015054	5	5	154	0	ui://2opvcgqb9m1r3cg		2	0		
1015055	近卫裤子（黄色）	EquipName_1015055	6	5	155	0	ui://2opvcgqb9m1r3ae		2	0	10534	
1015056	近卫鞋子（黄色）	EquipName_1015056	7	5	156	0	ui://2opvcgqb9m1r3ac		2	0	10535	
1015057	鸢盾护腕（黄色）	EquipName_1015057	3	5	157	0	ui://2opvcgqb9m1r3cf		17	0		
1015058	守护徽章（黄色）	EquipName_1015058	1	5	158	0	ui://2opvcgqb9m1r3ag		17	0		
1015059	忠诚指环（黄色）	EquipName_1015059	8	5	159	0	ui://2opvcgqb9m1r3ad		17	0		
1016001	游侠头盔（橙色）	EquipName_1014001	0	6	101	0	ui://2opvcgqbdweg306			0	10401	
1016002	游侠胸甲（橙色）	EquipName_1014002	2	6	102	0	ui://2opvcgqbdweg308			0		
1016003	游侠手套（橙色）	EquipName_1014003	4	6	103	0	ui://2opvcgqbdweg307			0	10403	
1016004	游侠腰带（橙色）	EquipName_1014004	5	6	104	0	ui://2opvcgqbdweg30a			0		
1016005	游侠裤子（橙色）	EquipName_1014005	6	6	105	0	ui://2opvcgqbdweg304			0	10402	
1016006	游侠鞋子（橙色）	EquipName_1014006	7	6	106	0	ui://2opvcgqbdweg302			0		
1016007	软皮护腕（橙色）	EquipName_1014007	3	6	107	0	ui://2opvcgqbdweg309			0	10404	
1016008	游隼羽坠（橙色）	EquipName_1014008	1	6	108	0	ui://2opvcgqbdweg305			0	10405	
1016009	猎弦指环（橙色）	EquipName_1014009	8	6	109	0	ui://2opvcgqbdweg303			0		
1016011	角斗士头盔（橙色）	EquipName_1014011	0	6	111	0	ui://2opvcgqbdweg2zx		1	0	10411	
1016012	角斗士胸甲（橙色）	EquipName_1014012	2	6	112	0	ui://2opvcgqbdweg2zz		1	0		
1016013	角斗士手套（橙色）	EquipName_1014013	4	6	113	0	ui://2opvcgqbdweg2zy		1	0	10413	
1016014	角斗士腰带（橙色）	EquipName_1014014	5	6	114	0	ui://2opvcgqbdweg301		1	0		
1016015	角斗士裤子（橙色）	EquipName_1014015	6	6	115	0	ui://2opvcgqbdweg2zv		1	0	10412	
1016016	角斗士鞋子（橙色）	EquipName_1014016	7	6	116	0	ui://2opvcgqbdweg2z6		1	0		
1016017	碎骨缚腕（橙色）	EquipName_1014017	3	6	117	0	ui://2opvcgqbdweg300		16	0	10414	
1016018	铁棘指环（橙色）	EquipName_1014018	1	6	118	0	ui://2opvcgqbdweg2zw		16	0	10415	
1016019	斗兽徽记（橙色）	EquipName_1014019	8	6	119	0	ui://2opvcgqbdweg2z7		16	0		
1016020	角斗士披风（橙色）	EquipName_1014020	9	6	120	0	ui://2opvcgqbkry03ep			0	10416	
1016021	勇气头盔（橙色）	EquipName_1014021	0	6	121	0	ui://2opvcgqb9m1r3c7			0	10431	
1016022	勇气胸甲（橙色）	EquipName_1014022	2	6	122	0	ui://2opvcgqb9m1r3c9			0		
1016023	勇气手套（橙色）	EquipName_1014023	4	6	123	0	ui://2opvcgqb9m1r3c8			0	10433	
1016024	勇气腰带（橙色）	EquipName_1014024	5	6	124	0	ui://2opvcgqb9m1r39k			0		
1016025	勇气裤子（橙色）	EquipName_1014025	6	6	125	0	ui://2opvcgqb9m1r3c5			0	10432	
1016026	勇气鞋子（橙色）	EquipName_1014026	7	6	126	0	ui://2opvcgqb9m1r3c3			0		
1016027	铁箍护腕（橙色）	EquipName_1014027	3	6	127	0	ui://2opvcgqb9m1r3ca			0	10434	
1016028	狮心吊坠（橙色）	EquipName_1014028	1	6	128	0	ui://2opvcgqb9m1r3c6			0	10435	
1016029	誓言指环（橙色）	EquipName_1014029	8	6	129	0	ui://2opvcgqb9m1r3c4			0		
1016031	无畏头盔（橙色）	EquipName_1015031	0	6	131	0	ui://2opvcgqbdweg2ye			0	10511	
1016032	无畏胸甲（橙色）	EquipName_1015032	2	6	132	0	ui://2opvcgqbdweg2yg			0		
1016033	无畏手套（橙色）	EquipName_1015033	4	6	133	0	ui://2opvcgqbdweg2yf			0	10513	
1016034	无畏腰带（橙色）	EquipName_1015034	5	6	134	0	ui://2opvcgqbdweg2z5			0		
1016035	无畏裤子（橙色）	EquipName_1015035	6	6	135	0	ui://2opvcgqbdweg2yc			0	10512	
1016036	无畏鞋子（橙色）	EquipName_1015036	7	6	136	0	ui://2opvcgqbdweg2ya			0		
1016037	铁壁护腕（橙色）	EquipName_1015037	3	6	137	0	ui://2opvcgqbdweg2z4			0	10514	
1016038	狮鹫徽记（橙色）	EquipName_1015038	1	6	138	0	ui://2opvcgqbdweg2yd			0	10515	
1016039	不屈指环（橙色）	EquipName_1015039	8	6	139	0	ui://2opvcgqbdweg2yb			0		
1016041	湮灭头盔（橙色）	EquipName_1015041	0	6	141	0	ui://2opvcgqb9m1r3d9			0	10521	
1016042	湮灭胸甲（橙色）	EquipName_1015042	2	6	142	0	ui://2opvcgqb9m1r3cw			0		
1016043	湮灭手套（橙色）	EquipName_1015043	4	6	143	0	ui://2opvcgqb9m1r3cv			0	10523	
1016044	湮灭腰带（橙色）	EquipName_1015044	5	6	144	0	ui://2opvcgqb9m1r3cy			0		
1016045	湮灭裤子（橙色）	EquipName_1015045	6	6	145	0	ui://2opvcgqb9m1r3cs			0	10522	
1016046	湮灭鞋子（橙色）	EquipName_1015046	7	6	146	0	ui://2opvcgqb9m1r3cq			0		
1016047	暗蚀护腕（橙色）	EquipName_1015047	3	6	147	0	ui://2opvcgqb9m1r3cx			0	10524	
1016048	虚空之眼（橙色）	EquipName_1015048	1	6	148	0	ui://2opvcgqb9m1r3cu			0	10525	
1016049	凋零指环（橙色）	EquipName_1015049	8	6	149	0	ui://2opvcgqb9m1r3cr			0		
1016051	近卫头盔（橙色）	EquipName_1015051	0	6	151	0	ui://2opvcgqb9m1r3bf		2	0	10531	
1016052	近卫胸甲（橙色）	EquipName_1015052	2	6	152	0	ui://2opvcgqb9m1r3bg		2	0		
1016053	近卫手套（橙色）	EquipName_1015053	4	6	153	0	ui://2opvcgqb9m1r3cc		2	0	10533	
1016054	近卫腰带（橙色）	EquipName_1015054	5	6	154	0	ui://2opvcgqb9m1r3cg		2	0		
1016055	近卫裤子（橙色）	EquipName_1015055	6	6	155	0	ui://2opvcgqb9m1r3ae		2	0	10532	
1016056	近卫鞋子（橙色）	EquipName_1015056	7	6	156	0	ui://2opvcgqb9m1r3ac		2	0		
1016057	鸢盾护腕（橙色）	EquipName_1015057	3	6	157	0	ui://2opvcgqb9m1r3cf		17	0	10534	
1016058	守护徽章（橙色）	EquipName_1015058	1	6	158	0	ui://2opvcgqb9m1r3ag		17	0	10535	
1016059	忠诚指环（橙色）	EquipName_1015059	8	6	159	0	ui://2opvcgqb9m1r3ad		17	0		
1016061	星术师帽子（橙色）	EquipName_1016061	0	6	161	0	ui://2opvcgqb9m1r3bp			0	10441	
1016062	星术师胸甲（橙色）	EquipName_1016062	2	6	162	0	ui://2opvcgqb9m1r3br			0	10443	
1016063	星术师手套（橙色）	EquipName_1016063	4	6	163	0	ui://2opvcgqb9m1r3bq			0	10442	
1016064	星术师腰带（橙色）	EquipName_1016064	5	6	164	0	ui://2opvcgqb9m1r3bt			0		
1016065	星术师裤子（橙色）	EquipName_1016065	6	6	165	0	ui://2opvcgqb9m1r3bn			0	10444	
1016066	星术师鞋子（橙色）	EquipName_1016066	7	6	166	0	ui://2opvcgqb9m1r3bl			0	10445	
1016067	星辉护腕（橙色）	EquipName_1016067	3	6	167	0	ui://2opvcgqb9m1r3bs			0		
1016068	星轨吊坠（橙色）	EquipName_1016068	1	6	168	0	ui://2opvcgqb9m1r3bo			0		
1016069	占星指环（橙色）	EquipName_1016069	8	6	169	0	ui://2opvcgqb9m1r3bm			0		
1016070	星术师披风（橙色）	EquipName_1016070	9	6	170	0	ui://2opvcgqbkry03eo			0	10446	
1016071	虚空头盔（橙色）	EquipName_1016071	0	6	171	0	ui://2opvcgqb9m1r3bv			0	10451	
1016072	虚空胸甲（橙色）	EquipName_1016072	2	6	172	0	ui://2opvcgqb9m1r3bi			0	10453	
1016073	虚空手套（橙色）	EquipName_1016073	4	6	173	0	ui://2opvcgqb9m1r3bh			0	10452	
1016074	虚空腰带（橙色）	EquipName_1016074	5	6	174	0	ui://2opvcgqb9m1r3bk			0		
1016075	虚空裤子（橙色）	EquipName_1016075	6	6	175	0	ui://2opvcgqb9m1r3ct			0	10454	
1016076	虚空鞋子（橙色）	EquipName_1016076	7	6	176	0	ui://2opvcgqb9m1r3d8			0	10455	
1016077	虚无缠腕（橙色）	EquipName_1016077	3	6	177	0	ui://2opvcgqb9m1r3bj			0		
1016078	虚空之瞳（橙色）	EquipName_1016078	1	6	178	0	ui://2opvcgqb9m1r3cd			0		
1016079	暗界指环（橙色）	EquipName_1016079	8	6	179	0	ui://2opvcgqb9m1r3ce			0		
1016081	审判头盔（橙色）	EquipName_1016081	0	6	181	0	ui://2opvcgqbdweg2y5			0	10611	
1016082	审判胸甲（橙色）	EquipName_1016082	2	6	182	0	ui://2opvcgqbdweg2y8			0	10613	
1016083	审判手套（橙色）	EquipName_1016083	4	6	183	0	ui://2opvcgqbdweg2y6			0	10612	
1016084	审判腰带（橙色）	EquipName_1016084	5	6	184	0	ui://2opvcgqbdweg2y9			0		
1016085	审判裤子（橙色）	EquipName_1016085	6	6	185	0	ui://2opvcgqbdweg2y3			0	10614	
1016086	审判鞋子（橙色）	EquipName_1016086	7	6	186	0	ui://2opvcgqbdweg2y1			0	10615	
1016087	律法护腕（橙色）	EquipName_1016087	3	6	187	0	ui://2opvcgqbdweg2yh			0		
1016088	裁决天秤（橙色）	EquipName_1016088	1	6	188	0	ui://2opvcgqbdweg2y4			0		
1016089	公正指环（橙色）	EquipName_1016089	8	6	189	0	ui://2opvcgqbdweg2y2			0		
1016090	审判披风（橙色）	EquipName_1016090	9	6	190	0	ui://2opvcgqbkry03eq			0	10616	
1016091	血法头盔（橙色）	EquipName_1016091	0	6	191	0	ui://2opvcgqbdweg2yj		3	0	10621	
1016092	血法胸甲（橙色）	EquipName_1016092	2	6	192	0	ui://2opvcgqbdweg2y7		3	0	10623	
1016093	血法手套（橙色）	EquipName_1016093	4	6	193	0	ui://2opvcgqbdweg2yi		3	0	10622	
1016094	血法腰带（橙色）	EquipName_1016094	5	6	194	0	ui://2opvcgqbdweg2y0		3	0	10624	
1016095	血法裤子（橙色）	EquipName_1016095	6	6	195	0	ui://2opvcgqbdweg2z3		3	0	10625	
1016096	血法鞋子（橙色）	EquipName_1016096	7	6	196	0	ui://2opvcgqbdweg2z1		3	0		
1016097	血缚护腕（橙色）	EquipName_1016097	3	6	197	0	ui://2opvcgqbdweg2xz		18	0		
1016098	噬血魂坠（橙色）	EquipName_1016098	1	6	198	0	ui://2opvcgqbdweg2yk		18	0		
1016099	血誓指环（橙色）	EquipName_1016099	8	6	199	0	ui://2opvcgqbdweg2z2		18	0		
1016101	领主头盔（橙色）	EquipName_1016101	0	6	201	0	ui://2opvcgqb9m1r3au		4	0	10641	
1016102	领主胸甲（橙色）	EquipName_1016102	2	6	202	0	ui://2opvcgqb9m1r3aw		4	0	10643	
1016103	领主手套（橙色）	EquipName_1016103	4	6	203	0	ui://2opvcgqb9m1r3av		4	0	10642	
1016104	领主腰带（橙色）	EquipName_1016104	5	6	204	0	ui://2opvcgqb9m1r3bd		4	0		
1016105	领主裤子（橙色）	EquipName_1016105	6	6	205	0	ui://2opvcgqb9m1r3as		4	0	10644	
1016106	领主鞋子（橙色）	EquipName_1016106	7	6	206	0	ui://2opvcgqb9m1r3aq		4	0	10645	
1016107	威仪臂铠（橙色）	EquipName_1016107	3	6	207	0	ui://2opvcgqb9m1r3ay		19	0		
1016108	权柄坠饰（橙色）	EquipName_1016108	1	6	208	0	ui://2opvcgqb9m1r3at		19	0		
1016109	权玺指环（橙色）	EquipName_1016109	8	6	209	0	ui://2opvcgqb9m1r3ar		19	0		
1016110	领主披风（橙色）	EquipName_1016110	9	6	210	0	ui://2opvcgqbkry03es			0	10646	
1017001	游侠头盔（红色）	EquipName_1014001	0	7	101	0	ui://2opvcgqbdweg306			0	10401	
1017002	游侠胸甲（红色）	EquipName_1014002	2	7	102	0	ui://2opvcgqbdweg308			0		
1017003	游侠手套（红色）	EquipName_1014003	4	7	103	0	ui://2opvcgqbdweg307			0	10403	
1017004	游侠腰带（红色）	EquipName_1014004	5	7	104	0	ui://2opvcgqbdweg30a			0		
1017005	游侠裤子（红色）	EquipName_1014005	6	7	105	0	ui://2opvcgqbdweg304			0	10402	
1017006	游侠鞋子（红色）	EquipName_1014006	7	7	106	0	ui://2opvcgqbdweg302			0		
1017007	软皮护腕（红色）	EquipName_1014007	3	7	107	0	ui://2opvcgqbdweg309			0	10404	
1017008	游隼羽坠（红色）	EquipName_1014008	1	7	108	0	ui://2opvcgqbdweg305			0	10405	
1017009	猎弦指环（红色）	EquipName_1014009	8	7	109	0	ui://2opvcgqbdweg303			0		
1017011	角斗士头盔（红色）	EquipName_1014011	0	7	111	0	ui://2opvcgqbdweg2zx		1	0	10411	
1017012	角斗士胸甲（红色）	EquipName_1014012	2	7	112	0	ui://2opvcgqbdweg2zz		1	0		
1017013	角斗士手套（红色）	EquipName_1014013	4	7	113	0	ui://2opvcgqbdweg2zy		1	0	10413	
1017014	角斗士腰带（红色）	EquipName_1014014	5	7	114	0	ui://2opvcgqbdweg301		1	0		
1017015	角斗士裤子（红色）	EquipName_1014015	6	7	115	0	ui://2opvcgqbdweg2zv		1	0	10412	
1017016	角斗士鞋子（红色）	EquipName_1014016	7	7	116	0	ui://2opvcgqbdweg2z6		1	0		
1017017	碎骨缚腕（红色）	EquipName_1014017	3	7	117	0	ui://2opvcgqbdweg300		16	0	10414	
1017018	铁棘指环（红色）	EquipName_1014018	1	7	118	0	ui://2opvcgqbdweg2zw		16	0	10415	
1017019	斗兽徽记（红色）	EquipName_1014019	8	7	119	0	ui://2opvcgqbdweg2z7		16	0		
1017020	角斗士披风（红色）	EquipName_1014020	9	7	120	0	ui://2opvcgqbkry03ep			0	10416	
